step	train_loss
0	0.7370692623986138
1	0.6942381395234002
2	0.6729225648774041
3	0.6576639082696702
4	0.6320640378528171
5	0.6047103868590461
6	0.5649602015813192
7	0.5183205604553223
8	0.46533236900965375
9	0.4093675911426544
10	0.3518523971239726
11	0.30241023004055023
12	0.24842719402578142
13	0.20713532136546242
14	0.17693725559446546
15	0.14851327654388216
16	0.1286093162165748
17	0.11237328747908275
18	0.09844485587543911
19	0.08649116630355518
20	0.07851042639878061
21	0.069456550396151
22	0.06405607155627674
23	0.05809615428249041
24	0.05329466983675957
25	0.04871274158358574
26	0.04511918707026376
27	0.042154295990864434
28	0.0394505403108067
29	0.036750668245885104
30	0.034546823551257454
31	0.03259543453653654
32	0.030844701661003962
33	0.029652181598875258
34	0.027732104890876345
35	0.02633457092775239
36	0.025056407062543765
37	0.02397442816032304
38	0.023000456082324188
39	0.02197989324728648
40	0.021065099061363272
41	0.02022564524991645
42	0.01951535480717818
43	0.01881497146354781
44	0.01817689763589038
45	0.017436933393279713
46	0.01686271321442392
47	0.016323059797286987
48	0.015784214147263102
49	0.015278823466764556
50	0.014832846716874175
51	0.014401314366194937
52	0.013943100451595254
53	0.013602983620431688
54	0.013237401843070984
55	0.012867715934084522
56	0.01252443374445041
57	0.012205851781699393
58	0.011893562713844908
59	0.01159564767860704
60	0.01132783821473519
61	0.011038393713533878
62	0.010804219844026698
63	0.010536225098702643
64	0.010292718031754097
65	0.0100801771817108
66	0.009862196166068316
67	0.00966371399246984
68	0.00945476670232084
69	0.009265237746553289
70	0.009083276304105917
71	0.00891258924578627
72	0.00872649195500546
73	0.008598491963413026
74	0.008402336544046799
75	0.008252433656404415
76	0.008092553432409963
77	0.007958606713347964
78	0.007815818664514355
79	0.007681877145336734
80	0.007549456217222744
81	0.007421808058602942
82	0.007311147792885701
83	0.0071834844744039904
84	0.007071376209043794
85	0.006960688831491603
86	0.0068546961475577615
87	0.006749480290131437
88	0.00664295478620463
89	0.006551979161385033
90	0.006447566880120171
91	0.006355342713909017
92	0.006267036854599913
93	0.006174259560389651
94	0.00609290496342712
95	0.0060015711933374405
96	0.0059304318856447935
97	0.005842470926129156
98	0.005761460970259375
99	0.005685507914879256
100	0.00561860170111888
101	0.005540331618653404
102	0.0054675892719792
103	0.005401910515502095
104	0.005335873484404551
105	0.005269520346903139
106	0.005210168814907472
107	0.005141646420169208
108	0.005080528557300568
109	0.005022379647319515
110	0.004960991028282378
111	0.004914386353145043
112	0.004847245963497294
113	0.00479348629920019
114	0.004738937882292602
115	0.004695763552768363
116	0.004633130686771538
117	0.004591725559698211
118	0.00453308641186191
119	0.0044861433820592034
